Year,Region,GDP,GDP_Type,Unit
2002,Osrednjeslovenska,21900.38,GDP per Capita,EUR
2002,Gorenjska,13839.53,GDP per Capita,EUR
2002,Goriska,15067.07,GDP per Capita,EUR
2002,Obalno-kraska,16476.73,GDP per Capita,EUR
2003,Bjelovarsko-bilogorska županija,6773.84,GDP per Capita,EUR
2003,Virovitičko-podravska županija,6742.05,GDP per Capita,EUR
2003,Požeško-slavonska županija,6833.16,GDP per Capita,EUR
2003,Brodsko-posavska županija,5842.43,GDP per Capita,EUR
2003,Osječko-baranjska županija,7196.97,GDP per Capita,EUR
2003,Vukovarsko-srijemska županija,5809.55,GDP per Capita,EUR
2003,Karlovačka županija,7356.6,GDP per Capita,EUR
2003,Sisačko-moslavačka županija,7123.14,GDP per Capita,EUR
2003,Primorsko-goranska zupanija,11619.01,GDP per Capita,EUR
2003,Licko-senjska zupanija,9312.94,GDP per Capita,EUR
2003,Zadarska zupanija,8349.26,GDP per Capita,EUR
2003,Sibensko-kninska zupanija,7120.44,GDP per Capita,EUR
2003,Splitsko-dalmatinska zupanija,7741.88,GDP per Capita,EUR
2003,Istarska zupanija,13329.47,GDP per Capita,EUR
2003,Dubrovacko-neretvanska zupanija,8737.52,GDP per Capita,EUR
2003,Grad Zagreb,16036.63,GDP per Capita,EUR
2003,Međimurska županija,7369.76,GDP per Capita,EUR
2003,Varaždinska županija,8436.46,GDP per Capita,EUR
2003,Koprivničko-križevačka županija,9049.89,GDP per Capita,EUR
2003,Krapinsko-zagorska županija,6617.74,GDP per Capita,EUR
2003,Zagrebačka županija,7044.08,GDP per Capita,EUR
2003,Crna Gora,4170.08,GDP per Capita,EUR
2003,Vardarski,3001.12,GDP per Capita,EUR
2003,Istocen,2167.46,GDP per Capita,EUR
2003,Jugozapaden,2139.34,GDP per Capita,EUR
2003,Jugoistocen,2711.08,GDP per Capita,EUR
2003,Pelagoniski,3921.49,GDP per Capita,EUR
2003,Poloski,1673.15,GDP per Capita,EUR
2003,Severoistocen,1803.22,GDP per Capita,EUR
2003,Skopski,4278.17,GDP per Capita,EUR
2003,Београдска област,5575.5,GDP per Capita,EUR
2003,Западнобачка област,2722.86,GDP per Capita,EUR
2003,Јужнобанатска област,3030.89,GDP per Capita,EUR
2003,Јужнобачка област,4804.67,GDP per Capita,EUR
2003,Севернобанатска област,2938.08,GDP per Capita,EUR
2003,Севернобачка област,3045.07,GDP per Capita,EUR
2003,Средњобанатска област,3335.28,GDP per Capita,EUR
2003,Сремска област,2732.72,GDP per Capita,EUR
2003,Златиборска област,2548.95,GDP per Capita,EUR
2003,Колубарска област,2338.12,GDP per Capita,EUR
2003,Мачванска област,1996.83,GDP per Capita,EUR
2003,Моравичка област,2930.4,GDP per Capita,EUR
2003,Поморавска област,2855.5,GDP per Capita,EUR
2003,Расинска област,2490.97,GDP per Capita,EUR
2003,Рашка област,2401.15,GDP per Capita,EUR
2003,Шумадијска област,2365.7,GDP per Capita,EUR
2003,Борска област,2624.74,GDP per Capita,EUR
2003,Браничевска област,3239.93,GDP per Capita,EUR
2003,Зајечарска област,2340.83,GDP per Capita,EUR
2003,Јабланичка област,2187.71,GDP per Capita,EUR
2003,Нишавска област,3257.65,GDP per Capita,EUR
2003,Пиротска област,2194.68,GDP per Capita,EUR
2003,Подунавска област,1649.46,GDP per Capita,EUR
2003,Пчињска област,2351.41,GDP per Capita,EUR
2003,Топличка област,1968.33,GDP per Capita,EUR
2003,Pomurska,10849.96,GDP per Capita,EUR
2003,Podravska,13193.27,GDP per Capita,EUR
2003,Koroska,12877.84,GDP per Capita,EUR
2003,Savinjska,14273.49,GDP per Capita,EUR
2003,Zasavska,10318.67,GDP per Capita,EUR
2003,Posavska,12758.21,GDP per Capita,EUR
2003,Jugovzhodna Slovenija,15579.08,GDP per Capita,EUR
2003,Primorsko-notranjska,12273.8,GDP per Capita,EUR
2003,Osrednjeslovenska,23256.54,GDP per Capita,EUR
2003,Gorenjska,14105.64,GDP per Capita,EUR
2003,Goriska,15227.2,GDP per Capita,EUR
2003,Obalno-kraska,16912.31,GDP per Capita,EUR
2003,Bjelovarsko-bilogorska županija,6773.84,GDP per Capita,EUR
2003,Virovitičko-podravska županija,6742.05,GDP per Capita,EUR
2003,Požeško-slavonska županija,6833.16,GDP per Capita,EUR
2003,Brodsko-posavska županija,5842.43,GDP per Capita,EUR
2003,Osječko-baranjska županija,7196.97,GDP per Capita,EUR
2003,Vukovarsko-srijemska županija,5809.55,GDP per Capita,EUR
2003,Karlovačka županija,7356.6,GDP per Capita,EUR
2003,Sisačko-moslavačka županija,7123.14,GDP per Capita,EUR
2003,Primorsko-goranska zupanija,11619.01,GDP per Capita,EUR
2003,Licko-senjska zupanija,9312.94,GDP per Capita,EUR
2003,Zadarska zupanija,8349.26,GDP per Capita,EUR
2003,Sibensko-kninska zupanija,7120.44,GDP per Capita,EUR
2003,Splitsko-dalmatinska zupanija,7741.88,GDP per Capita,EUR
2003,Istarska zupanija,13329.47,GDP per Capita,EUR
2003,Dubrovacko-neretvanska zupanija,8737.52,GDP per Capita,EUR
2003,Grad Zagreb,16036.63,GDP per Capita,EUR
2003,Međimurska županija,7369.76,GDP per Capita,EUR
2003,Varaždinska županija,8436.46,GDP per Capita,EUR
2003,Koprivničko-križevačka županija,9049.89,GDP per Capita,EUR
2003,Krapinsko-zagorska županija,6617.74,GDP per Capita,EUR
2003,Zagrebačka županija,7044.08,GDP per Capita,EUR
2003,Crna Gora,4170.08,GDP per Capita,EUR
2003,Vardarski,3001.12,GDP per Capita,EUR
2003,Istocen,2167.46,GDP per Capita,EUR
2003,Jugozapaden,2139.34,GDP per Capita,EUR
2003,Jugoistocen,2711.08,GDP per Capita,EUR
2003,Pelagoniski,3921.49,GDP per Capita,EUR
2003,Poloski,1673.15,GDP per Capita,EUR
2003,Severoistocen,1803.22,GDP per Capita,EUR
2003,Skopski,4278.17,GDP per Capita,EUR
2003,Београдска област,5575.5,GDP per Capita,EUR
2003,Западнобачка област,2722.86,GDP per Capita,EUR
2003,Јужнобанатска област,3030.89,GDP per Capita,EUR
2003,Јужнобачка област,4804.67,GDP per Capita,EUR
2003,Севернобанатска област,2938.08,GDP per Capita,EUR
2003,Севернобачка област,3045.07,GDP per Capita,EUR
2003,Средњобанатска област,3335.28,GDP per Capita,EUR
2003,Сремска област,2732.72,GDP per Capita,EUR
2003,Златиборска област,2548.95,GDP per Capita,EUR
2003,Колубарска област,2338.12,GDP per Capita,EUR
2003,Мачванска област,1996.83,GDP per Capita,EUR
2003,Моравичка област,2930.4,GDP per Capita,EUR
2003,Поморавска област,2855.5,GDP per Capita,EUR
2003,Расинска област,2490.97,GDP per Capita,EUR
2003,Рашка област,2401.15,GDP per Capita,EUR
2003,Шумадијска област,2365.7,GDP per Capita,EUR
2003,Борска област,2624.74,GDP per Capita,EUR
2003,Браничевска област,3239.93,GDP per Capita,EUR
2003,Зајечарска област,2340.83,GDP per Capita,EUR
2003,Јабланичка област,2187.71,GDP per Capita,EUR
2003,Нишавска област,3257.65,GDP per Capita,EUR
2003,Пиротска област,2194.68,GDP per Capita,EUR
2003,Подунавска област,1649.46,GDP per Capita,EUR
2003,Пчињска област,2351.41,GDP per Capita,EUR
2003,Топличка област,1968.33,GDP per Capita,EUR
2003,Pomurska,10849.96,GDP per Capita,EUR
2003,Podravska,13193.27,GDP per Capita,EUR
2003,Koroska,12877.84,GDP per Capita,EUR
2003,Savinjska,14273.49,GDP per Capita,EUR
2003,Zasavska,10318.67,GDP per Capita,EUR
2003,Posavska,12758.21,GDP per Capita,EUR
2003,Jugovzhodna Slovenija,15579.08,GDP per Capita,EUR
2003,Primorsko-notranjska,12273.8,GDP per Capita,EUR
2003,Osrednjeslovenska,23256.54,GDP per Capita,EUR
2003,Gorenjska,14105.64,GDP per Capita,EUR
2003,Goriska,15227.2,GDP per Capita,EUR
2003,Obalno-kraska,16912.31,GDP per Capita,EUR
2004,Bjelovarsko-bilogorska županija,6965.69,GDP per Capita,EUR
2004,Virovitičko-podravska županija,6732.12,GDP per Capita,EUR
2004,Požeško-slavonska županija,7108.28,GDP per Capita,EUR
2004,Brodsko-posavska županija,6155.39,GDP per Capita,EUR
2004,Osječko-baranjska županija,7632.56,GDP per Capita,EUR
2004,Vukovarsko-srijemska županija,5979.1,GDP per Capita,EUR
2004,Karlovačka županija,7326.3,GDP per Capita,EUR
2004,Sisačko-moslavačka županija,7157.75,GDP per Capita,EUR
2004,Primorsko-goranska zupanija,11641.15,GDP per Capita,EUR
2004,Licko-senjska zupanija,11803.84,GDP per Capita,EUR
2004,Zadarska zupanija,8516.62,GDP per Capita,EUR
2004,Sibensko-kninska zupanija,7653.21,GDP per Capita,EUR
2004,Splitsko-dalmatinska zupanija,8420.36,GDP per Capita,EUR
2004,Istarska zupanija,13847.28,GDP per Capita,EUR
2004,Dubrovacko-neretvanska zupanija,9666.59,GDP per Capita,EUR
2004,Grad Zagreb,16812.88,GDP per Capita,EUR
2004,Međimurska županija,7482.28,GDP per Capita,EUR
2004,Varaždinska županija,8109.05,GDP per Capita,EUR
2004,Koprivničko-križevačka županija,8873.42,GDP per Capita,EUR
2004,Krapinsko-zagorska županija,6618.69,GDP per Capita,EUR
2004,Zagrebačka županija,7409.76,GDP per Capita,EUR
2004,Crna Gora,4343.72,GDP per Capita,EUR
2004,Vardarski,2934.53,GDP per Capita,EUR
2004,Istocen,2364.26,GDP per Capita,EUR
2004,Jugozapaden,2422.49,GDP per Capita,EUR
2004,Jugoistocen,2874.19,GDP per Capita,EUR
2004,Pelagoniski,3711.95,GDP per Capita,EUR
2004,Poloski,1581.44,GDP per Capita,EUR
2004,Severoistocen,1788.97,GDP per Capita,EUR
2004,Skopski,4660.42,GDP per Capita,EUR
2004,Београдска област,6555.63,GDP per Capita,EUR
2004,Западнобачка област,3005.36,GDP per Capita,EUR
2004,Јужнобанатска област,3295.51,GDP per Capita,EUR
2004,Јужнобачка област,5094.96,GDP per Capita,EUR
2004,Севернобанатска област,3211.81,GDP per Capita,EUR
2004,Севернобачка област,3294.14,GDP per Capita,EUR
2004,Средњобанатска област,3651.19,GDP per Capita,EUR
2004,Сремска област,2989.27,GDP per Capita,EUR
2004,Златиборска област,2510.98,GDP per Capita,EUR
2004,Колубарска област,2450.13,GDP per Capita,EUR
2004,Мачванска област,2207.17,GDP per Capita,EUR
2004,Моравичка област,3134.84,GDP per Capita,EUR
2004,Поморавска област,2687.78,GDP per Capita,EUR
2004,Расинска област,2553.54,GDP per Capita,EUR
2004,Рашка област,2391.65,GDP per Capita,EUR
2004,Шумадијска област,2485.18,GDP per Capita,EUR
2004,Борска област,2411.01,GDP per Capita,EUR
2004,Браничевска област,3378.61,GDP per Capita,EUR
2004,Зајечарска област,2435.93,GDP per Capita,EUR
2004,Јабланичка област,2063.84,GDP per Capita,EUR
2004,Нишавска област,3572.48,GDP per Capita,EUR
2004,Пиротска област,2322.35,GDP per Capita,EUR
2004,Подунавска област,1787.7,GDP per Capita,EUR
2004,Пчињска област,2080.08,GDP per Capita,EUR
2004,Топличка област,1982.04,GDP per Capita,EUR
2004,Pomurska,11415.79,GDP per Capita,EUR
2004,Podravska,13865.24,GDP per Capita,EUR
2004,Koroska,13321.14,GDP per Capita,EUR
2004,Savinjska,14924.31,GDP per Capita,EUR
2004,Zasavska,10665.34,GDP per Capita,EUR
2004,Posavska,13316.28,GDP per Capita,EUR
2004,Jugovzhodna Slovenija,16507.53,GDP per Capita,EUR
2004,Primorsko-notranjska,12695.33,GDP per Capita,EUR
2004,Osrednjeslovenska,24177.9,GDP per Capita,EUR
2004,Gorenjska,14726.68,GDP per Capita,EUR
2004,Goriska,15616.9,GDP per Capita,EUR
2004,Obalno-kraska,17517.14,GDP per Capita,EUR
2004,Bjelovarsko-bilogorska županija,6965.69,GDP per Capita,EUR
2004,Virovitičko-podravska županija,6732.12,GDP per Capita,EUR
2004,Požeško-slavonska županija,7108.28,GDP per Capita,EUR
2004,Brodsko-posavska županija,6155.39,GDP per Capita,EUR
2004,Osječko-baranjska županija,7632.56,GDP per Capita,EUR
2004,Vukovarsko-srijemska županija,5979.1,GDP per Capita,EUR
2004,Karlovačka županija,7326.3,GDP per Capita,EUR
2004,Sisačko-moslavačka županija,7157.75,GDP per Capita,EUR
2004,Primorsko-goranska zupanija,11641.15,GDP per Capita,EUR
2004,Licko-senjska zupanija,11803.84,GDP per Capita,EUR
2004,Zadarska zupanija,8516.62,GDP per Capita,EUR
2004,Sibensko-kninska zupanija,7653.21,GDP per Capita,EUR
2004,Splitsko-dalmatinska zupanija,8420.36,GDP per Capita,EUR
2004,Istarska zupanija,13847.28,GDP per Capita,EUR
2004,Dubrovacko-neretvanska zupanija,9666.59,GDP per Capita,EUR
2004,Grad Zagreb,16812.88,GDP per Capita,EUR
2004,Međimurska županija,7482.28,GDP per Capita,EUR
2004,Varaždinska županija,8109.05,GDP per Capita,EUR
2004,Koprivničko-križevačka županija,8873.42,GDP per Capita,EUR
2004,Krapinsko-zagorska županija,6618.69,GDP per Capita,EUR
2004,Zagrebačka županija,7409.76,GDP per Capita,EUR
2004,Crna Gora,4343.72,GDP per Capita,EUR
2004,Vardarski,2934.53,GDP per Capita,EUR
2004,Istocen,2364.26,GDP per Capita,EUR
2004,Jugozapaden,2422.49,GDP per Capita,EUR
2004,Jugoistocen,2874.19,GDP per Capita,EUR
2004,Pelagoniski,3711.95,GDP per Capita,EUR
2004,Poloski,1581.44,GDP per Capita,EUR
2004,Severoistocen,1788.97,GDP per Capita,EUR
2004,Skopski,4660.42,GDP per Capita,EUR
2004,Београдска област,6555.63,GDP per Capita,EUR
2004,Западнобачка област,3005.36,GDP per Capita,EUR
2004,Јужнобанатска област,3295.51,GDP per Capita,EUR
2004,Јужнобачка област,5094.96,GDP per Capita,EUR
2004,Севернобанатска област,3211.81,GDP per Capita,EUR
2004,Севернобачка област,3294.14,GDP per Capita,EUR
2004,Средњобанатска област,3651.19,GDP per Capita,EUR
2004,Сремска област,2989.27,GDP per Capita,EUR
2004,Златиборска област,2510.98,GDP per Capita,EUR
2004,Колубарска област,2450.13,GDP per Capita,EUR
2004,Мачванска област,2207.17,GDP per Capita,EUR
2004,Моравичка област,3134.84,GDP per Capita,EUR
2004,Поморавска област,2687.78,GDP per Capita,EUR
2004,Расинска област,2553.54,GDP per Capita,EUR
2004,Рашка област,2391.65,GDP per Capita,EUR
2004,Шумадијска област,2485.18,GDP per Capita,EUR
2004,Борска област,2411.01,GDP per Capita,EUR
2004,Браничевска област,3378.61,GDP per Capita,EUR
2004,Зајечарска област,2435.93,GDP per Capita,EUR
2004,Јабланичка област,2063.84,GDP per Capita,EUR
2004,Нишавска област,3572.48,GDP per Capita,EUR
2004,Пиротска област,2322.35,GDP per Capita,EUR
2004,Подунавска област,1787.7,GDP per Capita,EUR
2004,Пчињска област,2080.08,GDP per Capita,EUR
2004,Топличка област,1982.04,GDP per Capita,EUR
2004,Pomurska,11415.79,GDP per Capita,EUR
2004,Podravska,13865.24,GDP per Capita,EUR
2004,Koroska,13321.14,GDP per Capita,EUR
2004,Savinjska,14924.31,GDP per Capita,EUR
2004,Zasavska,10665.34,GDP per Capita,EUR
2004,Posavska,13316.28,GDP per Capita,EUR
2004,Jugovzhodna Slovenija,16507.53,GDP per Capita,EUR
2004,Primorsko-notranjska,12695.33,GDP per Capita,EUR
2004,Osrednjeslovenska,24177.9,GDP per Capita,EUR
2004,Gorenjska,14726.68,GDP per Capita,EUR
2004,Goriska,15616.9,GDP per Capita,EUR
2004,Obalno-kraska,17517.14,GDP per Capita,EUR
2005,Bjelovarsko-bilogorska županija,6873.06,GDP per Capita,EUR
2005,Virovitičko-podravska županija,6606.72,GDP per Capita,EUR
2005,Požeško-slavonska županija,7125.17,GDP per Capita,EUR
2005,Brodsko-posavska županija,5854.76,GDP per Capita,EUR
2005,Osječko-baranjska županija,8042.42,GDP per Capita,EUR
2005,Vukovarsko-srijemska županija,6204.11,GDP per Capita,EUR
2005,Karlovačka županija,7704.92,GDP per Capita,EUR
2005,Sisačko-moslavačka županija,7675.24,GDP per Capita,EUR
2005,Primorsko-goranska zupanija,12692.71,GDP per Capita,EUR
2005,Licko-senjska zupanija,9256.38,GDP per Capita,EUR
2005,Zadarska zupanija,8967.82,GDP per Capita,EUR
2005,Sibensko-kninska zupanija,8291.01,GDP per Capita,EUR
2005,Splitsko-dalmatinska zupanija,8436.99,GDP per Capita,EUR
2005,Istarska zupanija,13824.31,GDP per Capita,EUR
2005,Dubrovacko-neretvanska zupanija,10137.79,GDP per Capita,EUR
2005,Grad Zagreb,17856.87,GDP per Capita,EUR
2005,Međimurska županija,7750.48,GDP per Capita,EUR
2005,Varaždinska županija,8346.46,GDP per Capita,EUR
2005,Koprivničko-križevačka županija,8673.78,GDP per Capita,EUR
2005,Krapinsko-zagorska županija,7177.97,GDP per Capita,EUR
2005,Zagrebačka županija,8081.0,GDP per Capita,EUR
2005,Crna Gora,4523.95,GDP per Capita,EUR
2005,Vardarski,3472.57,GDP per Capita,EUR
2005,Istocen,2305.55,GDP per Capita,EUR
2005,Jugozapaden,2232.44,GDP per Capita,EUR
2005,Jugoistocen,3357.58,GDP per Capita,EUR
2005,Pelagoniski,4306.09,GDP per Capita,EUR
2005,Poloski,1485.88,GDP per Capita,EUR
2005,Severoistocen,2065.63,GDP per Capita,EUR
2005,Skopski,4678.14,GDP per Capita,EUR
2005,Београдска област,6893.82,GDP per Capita,EUR
2005,Западнобачка област,3183.78,GDP per Capita,EUR
2005,Јужнобанатска област,3507.24,GDP per Capita,EUR
2005,Јужнобачка област,5438.14,GDP per Capita,EUR
2005,Севернобанатска област,3416.06,GDP per Capita,EUR
2005,Севернобачка област,3542.8,GDP per Capita,EUR
2005,Средњобанатска област,3877.02,GDP per Capita,EUR
2005,Сремска област,3208.24,GDP per Capita,EUR
2005,Златиборска област,2566.75,GDP per Capita,EUR
2005,Колубарска област,2513.21,GDP per Capita,EUR
2005,Мачванска област,2368.35,GDP per Capita,EUR
2005,Моравичка област,3440.77,GDP per Capita,EUR
2005,Поморавска област,3039.08,GDP per Capita,EUR
2005,Расинска област,2530.46,GDP per Capita,EUR
2005,Рашка област,2422.72,GDP per Capita,EUR
2005,Шумадијска област,2882.93,GDP per Capita,EUR
2005,Борска област,2772.57,GDP per Capita,EUR
2005,Браничевска област,3659.77,GDP per Capita,EUR
2005,Зајечарска област,2331.31,GDP per Capita,EUR
2005,Јабланичка област,1931.0,GDP per Capita,EUR
2005,Нишавска област,3794.38,GDP per Capita,EUR
2005,Пиротска област,2510.34,GDP per Capita,EUR
2005,Подунавска област,1883.92,GDP per Capita,EUR
2005,Пчињска област,2040.6,GDP per Capita,EUR
2005,Топличка област,1787.43,GDP per Capita,EUR
2005,Pomurska,11626.65,GDP per Capita,EUR
2005,Podravska,14388.69,GDP per Capita,EUR
2005,Koroska,13890.92,GDP per Capita,EUR
2005,Savinjska,15575.58,GDP per Capita,EUR
2005,Zasavska,11158.91,GDP per Capita,EUR
2005,Posavska,14158.12,GDP per Capita,EUR
2005,Jugovzhodna Slovenija,16772.11,GDP per Capita,EUR
2005,Primorsko-notranjska,12883.41,GDP per Capita,EUR
2005,Osrednjeslovenska,25201.12,GDP per Capita,EUR
2005,Gorenjska,15003.52,GDP per Capita,EUR
2005,Goriska,16172.19,GDP per Capita,EUR
2005,Obalno-kraska,18012.35,GDP per Capita,EUR
2005,Bjelovarsko-bilogorska županija,6873.06,GDP per Capita,EUR
2005,Virovitičko-podravska županija,6606.72,GDP per Capita,EUR
2005,Požeško-slavonska županija,7125.17,GDP per Capita,EUR
2005,Brodsko-posavska županija,5854.76,GDP per Capita,EUR
2005,Osječko-baranjska županija,8042.42,GDP per Capita,EUR
2005,Vukovarsko-srijemska županija,6204.11,GDP per Capita,EUR
2005,Karlovačka županija,7704.92,GDP per Capita,EUR
2005,Sisačko-moslavačka županija,7675.24,GDP per Capita,EUR
2005,Primorsko-goranska zupanija,12692.71,GDP per Capita,EUR
2005,Licko-senjska zupanija,9256.38,GDP per Capita,EUR
2005,Zadarska zupanija,8967.82,GDP per Capita,EUR
2005,Sibensko-kninska zupanija,8291.01,GDP per Capita,EUR
2005,Splitsko-dalmatinska zupanija,8436.99,GDP per Capita,EUR
2005,Istarska zupanija,13824.31,GDP per Capita,EUR
2005,Dubrovacko-neretvanska zupanija,10137.79,GDP per Capita,EUR
2005,Grad Zagreb,17856.87,GDP per Capita,EUR
2005,Međimurska županija,7750.48,GDP per Capita,EUR
2005,Varaždinska županija,8346.46,GDP per Capita,EUR
2005,Koprivničko-križevačka županija,8673.78,GDP per Capita,EUR
2005,Krapinsko-zagorska županija,7177.97,GDP per Capita,EUR
2005,Zagrebačka županija,8081.0,GDP per Capita,EUR
2005,Crna Gora,4523.95,GDP per Capita,EUR
2005,Vardarski,3472.57,GDP per Capita,EUR
2005,Istocen,2305.55,GDP per Capita,EUR
2005,Jugozapaden,2232.44,GDP per Capita,EUR
2005,Jugoistocen,3357.58,GDP per Capita,EUR
2005,Pelagoniski,4306.09,GDP per Capita,EUR
2005,Poloski,1485.88,GDP per Capita,EUR
2005,Severoistocen,2065.63,GDP per Capita,EUR
2005,Skopski,4678.14,GDP per Capita,EUR
2005,Београдска област,6893.82,GDP per Capita,EUR
2005,Западнобачка област,3183.78,GDP per Capita,EUR
2005,Јужнобанатска област,3507.24,GDP per Capita,EUR
2005,Јужнобачка област,5438.14,GDP per Capita,EUR
2005,Севернобанатска област,3416.06,GDP per Capita,EUR
2005,Севернобачка област,3542.8,GDP per Capita,EUR
2005,Средњобанатска област,3877.02,GDP per Capita,EUR
2005,Сремска област,3208.24,GDP per Capita,EUR
2005,Златиборска област,2566.75,GDP per Capita,EUR
2005,Колубарска област,2513.21,GDP per Capita,EUR
2005,Мачванска област,2368.35,GDP per Capita,EUR
2005,Моравичка област,3440.77,GDP per Capita,EUR
2005,Поморавска област,3039.08,GDP per Capita,EUR
2005,Расинска област,2530.46,GDP per Capita,EUR
2005,Рашка област,2422.72,GDP per Capita,EUR
2005,Шумадијска област,2882.93,GDP per Capita,EUR
2005,Борска област,2772.57,GDP per Capita,EUR
2005,Браничевска област,3659.77,GDP per Capita,EUR
2005,Зајечарска област,2331.31,GDP per Capita,EUR
2005,Јабланичка област,1931.0,GDP per Capita,EUR
2005,Нишавска област,3794.38,GDP per Capita,EUR
2005,Пиротска област,2510.34,GDP per Capita,EUR
2005,Подунавска област,1883.92,GDP per Capita,EUR
2005,Пчињска област,2040.6,GDP per Capita,EUR
2005,Топличка област,1787.43,GDP per Capita,EUR
2005,Pomurska,11626.65,GDP per Capita,EUR
2005,Podravska,14388.69,GDP per Capita,EUR
2005,Koroska,13890.92,GDP per Capita,EUR
2005,Savinjska,15575.58,GDP per Capita,EUR
2005,Zasavska,11158.91,GDP per Capita,EUR
2005,Posavska,14158.12,GDP per Capita,EUR
2005,Jugovzhodna Slovenija,16772.11,GDP per Capita,EUR
2005,Primorsko-notranjska,12883.41,GDP per Capita,EUR
2005,Osrednjeslovenska,25201.12,GDP per Capita,EUR
2005,Gorenjska,15003.52,GDP per Capita,EUR
2005,Goriska,16172.19,GDP per Capita,EUR
2005,Obalno-kraska,18012.35,GDP per Capita,EUR
2006,Bjelovarsko-bilogorska županija,7623.78,GDP per Capita,EUR
2006,Virovitičko-podravska županija,7436.46,GDP per Capita,EUR
2006,Požeško-slavonska županija,7041.28,GDP per Capita,EUR
2006,Brodsko-posavska županija,6207.15,GDP per Capita,EUR
2006,Osječko-baranjska županija,8528.48,GDP per Capita,EUR
2006,Vukovarsko-srijemska županija,6956.58,GDP per Capita,EUR
2006,Karlovačka županija,8442.73,GDP per Capita,EUR
2006,Sisačko-moslavačka županija,8704.58,GDP per Capita,EUR
2006,Primorsko-goranska zupanija,13305.35,GDP per Capita,EUR
2006,Licko-senjska zupanija,9443.35,GDP per Capita,EUR
2006,Zadarska zupanija,8937.77,GDP per Capita,EUR
2006,Sibensko-kninska zupanija,8215.39,GDP per Capita,EUR
2006,Splitsko-dalmatinska zupanija,8953.15,GDP per Capita,EUR
2006,Istarska zupanija,14207.33,GDP per Capita,EUR
2006,Dubrovacko-neretvanska zupanija,10661.65,GDP per Capita,EUR
2006,Grad Zagreb,18667.5,GDP per Capita,EUR
2006,Međimurska županija,8458.98,GDP per Capita,EUR
2006,Varaždinska županija,8754.59,GDP per Capita,EUR
2006,Koprivničko-križevačka županija,9597.81,GDP per Capita,EUR
2006,Krapinsko-zagorska županija,7271.03,GDP per Capita,EUR
2006,Zagrebačka županija,7903.12,GDP per Capita,EUR
2006,Crna Gora,4908.56,GDP per Capita,EUR
2006,Vardarski,3484.74,GDP per Capita,EUR
2006,Istocen,2731.1,GDP per Capita,EUR
2006,Jugozapaden,2604.98,GDP per Capita,EUR
2006,Jugoistocen,3158.62,GDP per Capita,EUR
2006,Pelagoniski,3444.46,GDP per Capita,EUR
2006,Poloski,1811.21,GDP per Capita,EUR
2006,Severoistocen,1901.34,GDP per Capita,EUR
2006,Skopski,5236.76,GDP per Capita,EUR
2006,Београдска област,7453.83,GDP per Capita,EUR
2006,Западнобачка област,3259.17,GDP per Capita,EUR
2006,Јужнобанатска област,3583.13,GDP per Capita,EUR
2006,Јужнобачка област,5521.52,GDP per Capita,EUR
2006,Севернобанатска област,3488.27,GDP per Capita,EUR
2006,Севернобачка област,3658.47,GDP per Capita,EUR
2006,Средњобанатска област,3936.22,GDP per Capita,EUR
2006,Сремска област,3303.39,GDP per Capita,EUR
2006,Златиборска област,2785.36,GDP per Capita,EUR
2006,Колубарска област,2763.81,GDP per Capita,EUR
2006,Мачванска област,2178.89,GDP per Capita,EUR
2006,Моравичка област,3707.12,GDP per Capita,EUR
2006,Поморавска област,2984.75,GDP per Capita,EUR
2006,Расинска област,2630.44,GDP per Capita,EUR
2006,Рашка област,2628.7,GDP per Capita,EUR
2006,Шумадијска област,2908.28,GDP per Capita,EUR
2006,Борска област,3065.15,GDP per Capita,EUR
2006,Браничевска област,3558.99,GDP per Capita,EUR
2006,Зајечарска област,2226.41,GDP per Capita,EUR
2006,Јабланичка област,2287.93,GDP per Capita,EUR
2006,Нишавска област,4087.9,GDP per Capita,EUR
2006,Пиротска област,2433.84,GDP per Capita,EUR
2006,Подунавска област,2141.58,GDP per Capita,EUR
2006,Пчињска област,2219.58,GDP per Capita,EUR
2006,Топличка област,1858.0,GDP per Capita,EUR
2006,Pomurska,12007.2,GDP per Capita,EUR
2006,Podravska,15292.72,GDP per Capita,EUR
2006,Koroska,14299.86,GDP per Capita,EUR
2006,Savinjska,16175.92,GDP per Capita,EUR
2006,Zasavska,11412.57,GDP per Capita,EUR
2006,Posavska,14628.12,GDP per Capita,EUR
2006,Jugovzhodna Slovenija,18115.94,GDP per Capita,EUR
2006,Primorsko-notranjska,13461.16,GDP per Capita,EUR
2006,Osrednjeslovenska,26793.87,GDP per Capita,EUR
2006,Gorenjska,15440.97,GDP per Capita,EUR
2006,Goriska,16831.67,GDP per Capita,EUR
2006,Obalno-kraska,19075.57,GDP per Capita,EUR
2006,Bjelovarsko-bilogorska županija,7623.78,GDP per Capita,EUR
2006,Virovitičko-podravska županija,7436.46,GDP per Capita,EUR
2006,Požeško-slavonska županija,7041.28,GDP per Capita,EUR
2006,Brodsko-posavska županija,6207.15,GDP per Capita,EUR
2006,Osječko-baranjska županija,8528.48,GDP per Capita,EUR
2006,Vukovarsko-srijemska županija,6956.58,GDP per Capita,EUR
2006,Karlovačka županija,8442.73,GDP per Capita,EUR
2006,Sisačko-moslavačka županija,8704.58,GDP per Capita,EUR
2006,Primorsko-goranska zupanija,13305.35,GDP per Capita,EUR
2006,Licko-senjska zupanija,9443.35,GDP per Capita,EUR
